asset_id,display_name,category,night_scope,final_path,source_path,creator,created_on,source_kind,source_url_or_contract,license_snapshot,permitted_scope,attribution_text,third_party_inputs,generator_record,human_redraw,similarity_review,sha256,version,gate_status,notes
TMP-N01-UI-001,V4体验版暖屋压缩底图,scene,N01,cocos-project/assets/indoor-n01-preview/formal-ui-v1-2-a-preview.jpg,design-board/formal-ui-v1-2/approvals/formal-ui-v1-2-a-user-approved-reference-2026-08-24.png,CODEX-AI+PROJECT-OWNER,2026-08-25,derived-preview,docs/GATE-D-MAINFLOW-V4-EXPERIENCE-UPLOAD-20260825.md|docs/GATE-D-MAINFLOW-V4-EXPERIENCE-UPLOAD-0-4-3-20260825.md,user-approved-single-disposable-experience-exception,历史r2开发版本0.4.2／对应体验版与当前r3开发版本0.4.3／由用户设置的对应体验版；禁止审核、正式包和线上发布,none,EXP-N01-UI-005,cocos-project/assets/indoor-n01-preview/asset-boundary.json,not-applicable；临时压缩衍生图,与用户批准参考同源；不得升格为生产相似性证据,cbc092d3f2cbd8ac9bbbea17d70e39436c85841493591eb47934d5caff3276d7,v4-experience.2,reviewed,prototype-only；disposable；experience-v0.4.3-only-current；0.4.2-historical；indoor-n01-preview分包
TMP-N01-UI-002,V4体验版壶盖透明裁片,interaction,N01,cocos-project/assets/indoor-n01-preview/kettle-lid-overlay.png,design-board/formal-ui-v1-2/approvals/formal-ui-v1-2-a-user-approved-reference-2026-08-24.png,CODEX-AI+PROJECT-OWNER,2026-08-25,derived-preview,docs/GATE-D-MAINFLOW-V4-EXPERIENCE-UPLOAD-20260825.md|docs/GATE-D-MAINFLOW-V4-EXPERIENCE-UPLOAD-0-4-3-20260825.md,user-approved-single-disposable-experience-exception,历史r2开发版本0.4.2／对应体验版与当前r3开发版本0.4.3／由用户设置的对应体验版；禁止审核、正式包和线上发布,none,EXP-N01-UI-005,cocos-project/assets/indoor-n01-preview/asset-boundary.json,not-applicable；临时透明预裁片,与用户批准参考同源；正式壶必须原创分层重绘,a64b97fb0d7fb4db292e6b39384401afef3d4b2a15c3b742e126c0dcc8a076a5,v4-experience.2,reviewed,prototype-only；disposable；experience-v0.4.3-only-current；0.4.2-historical；indoor-n01-preview分包
TMP-N01-UI-003,V4体验版猫头透明裁片,interaction,N01,cocos-project/assets/indoor-n01-preview/cat-head-overlay.png,design-board/formal-ui-v1-2/approvals/formal-ui-v1-2-a-user-approved-reference-2026-08-24.png,CODEX-AI+PROJECT-OWNER,2026-08-25,derived-preview,docs/GATE-D-MAINFLOW-V4-EXPERIENCE-UPLOAD-20260825.md|docs/GATE-D-MAINFLOW-V4-EXPERIENCE-UPLOAD-0-4-3-20260825.md,user-approved-single-disposable-experience-exception,历史r2开发版本0.4.2／对应体验版与当前r3开发版本0.4.3／由用户设置的对应体验版；禁止审核、正式包和线上发布,none,EXP-N01-UI-005,cocos-project/assets/indoor-n01-preview/asset-boundary.json,not-applicable；临时透明预裁片,与用户批准参考同源；正式猫必须原创分层重绘,0080ed1ce2160fa91c0ca775fffe9201748fcf9997ba91e51dbe9132d685e5d4,v4-experience.2,reviewed,prototype-only；disposable；experience-v0.4.3-only-current；0.4.2-historical；indoor-n01-preview分包
TMP-N01-UI-004,V4体验版杯子透明裁片,interaction,N01,cocos-project/assets/indoor-n01-preview/spare-cup-overlay.png,design-board/formal-ui-v1-2/approvals/formal-ui-v1-2-a-user-approved-reference-2026-08-24.png,CODEX-AI+PROJECT-OWNER,2026-08-25,derived-preview,docs/GATE-D-MAINFLOW-V4-EXPERIENCE-UPLOAD-20260825.md|docs/GATE-D-MAINFLOW-V4-EXPERIENCE-UPLOAD-0-4-3-20260825.md,user-approved-single-disposable-experience-exception,历史r2开发版本0.4.2／对应体验版与当前r3开发版本0.4.3／由用户设置的对应体验版；禁止审核、正式包和线上发布,none,EXP-N01-UI-005,cocos-project/assets/indoor-n01-preview/asset-boundary.json,not-applicable；临时透明预裁片,与用户批准参考同源；正式杯子必须原创分层重绘,fb7336e5dd253669f2d34414195dde260852bcc18c8e24326e814b8a4ba76108,v4-experience.2,reviewed,prototype-only；disposable；experience-v0.4.3-only-current；0.4.2-historical；indoor-n01-preview分包
TMP-N01-AUD-001,V4体验版壶盖轻响,audio,N01,cocos-project/assets/indoor-n01-preview/kettle-lid-answer-test-only.mp3,none,CODEX-AI+PROJECT-OWNER,2026-08-25,deterministic-synthesis,docs/GATE-D-MAINFLOW-V4-EXPERIENCE-UPLOAD-20260825.md|docs/GATE-D-MAINFLOW-V4-EXPERIENCE-UPLOAD-0-4-3-20260825.md,project-task-record,历史r2开发版本0.4.2／对应体验版与当前r3开发版本0.4.3／由用户设置的对应体验版；禁止审核、正式包和线上发布,none,none,cocos-project/assets/indoor-n01-preview/asset-boundary.json,not-applicable-audio；无第三方录音,确定性合成且无第三方采样；正式声音仍须听感批准,51f00149cf5c71c23ce657a2848a99ceb85815ad6f55b4a3376c94bdd2bc7fd9,v4-experience.2,reviewed,test-only；0.653s；运行时仅触碰后播放；experience-v0.4.3-only-current；0.4.2-historical分包
UI-N01-END-001,灯下留笺纸面,ui,N01,cocos-project/assets/resources/formal-ending-ui-v1/wall-note.png,design-system/formal-ending-ui-v1/wall-note.svg,CODEX-AI+PROJECT-OWNER,2026-08-25,ai-assisted,docs/FORMAL-ENDING-UI-V1-A-APPROVAL.md|docs/GATE-D-MAINFLOW-V4-EXPERIENCE-UPLOAD-0-4-3-20260825.md,project-task-record,项目内本地Cocos源码及gate-d-mainflow-v4-phone-preview-dev-r3开发版本0.4.3／由用户设置的对应体验版；审核和发布另行批准,none,none,design-system/formal-ending-ui-v1/generate-assets.mjs,可编辑SVG人工结构化重建并确定性导出PNG,用户已批准FORMAL-ENDING-UI-V1-A样式；r3本地构建与Web截图复验通过；微信真机待验,1b2a485ad2515913ca1d270e2c5e2dbccbc70d79f082d621c7db70335d3433a9,v1.0.2,reviewed,普通字号A；不包含暖屋参考图像素；0.4.3开发版本已上传；真机待验；not-for-review；not-for-release
UI-N01-END-002,桌边暖纸纸面,ui,N01,cocos-project/assets/resources/formal-ending-ui-v1/table-paper.png,design-system/formal-ending-ui-v1/table-paper.svg,CODEX-AI+PROJECT-OWNER,2026-08-25,ai-assisted,docs/FORMAL-ENDING-UI-V1-A-APPROVAL.md|docs/GATE-D-MAINFLOW-V4-EXPERIENCE-UPLOAD-0-4-3-20260825.md,project-task-record,项目内本地Cocos源码及gate-d-mainflow-v4-phone-preview-dev-r3开发版本0.4.3／由用户设置的对应体验版；审核和发布另行批准,none,none,design-system/formal-ending-ui-v1/generate-assets.mjs,可编辑SVG人工结构化重建并确定性导出PNG,用户已批准B用于120%大字及分享失败状态；r3本地构建与Web截图复验通过；微信真机待验,5901867b4e4fcc7727257ccc055119b8d2f0dba152b348930720ebeaacbe1d8b,v1.0.2,reviewed,大字与分享B；不包含暖屋参考图像素；0.4.3开发版本已上传；真机待验；not-for-review；not-for-release
UI-N01-END-003,收尾等权动作纸面,ui,N01,cocos-project/assets/resources/formal-ending-ui-v1/action-paper.png,design-system/formal-ending-ui-v1/action-paper.svg,CODEX-AI+PROJECT-OWNER,2026-08-25,ai-assisted,docs/FORMAL-ENDING-UI-V1-A-APPROVAL.md|docs/GATE-D-MAINFLOW-V4-EXPERIENCE-UPLOAD-0-4-3-20260825.md,project-task-record,项目内本地Cocos源码及gate-d-mainflow-v4-phone-preview-dev-r3开发版本0.4.3／由用户设置的对应体验版；审核和发布另行批准,none,none,design-system/formal-ending-ui-v1/generate-assets.mjs,可编辑SVG人工结构化重建并确定性导出PNG,用户已批准两个动作等权且无CTA；r3本地构建与Web截图复验通过；微信真机待验,fe4599161c5c4da075c077f755b5e1a3c37ee72ee1d545065477da9b3f4c69d6,v1.0.2,reviewed,44px以上触控目标；相邻间距12px；0.4.3开发版本已上传；真机待验；not-for-review；not-for-release
UI-N01-END-004,灯下留笺固定点,ui,N01,cocos-project/assets/resources/formal-ending-ui-v1/note-peg.png,design-system/formal-ending-ui-v1/note-peg.svg,CODEX-AI+PROJECT-OWNER,2026-08-25,ai-assisted,docs/FORMAL-ENDING-UI-V1-A-APPROVAL.md|docs/GATE-D-MAINFLOW-V4-EXPERIENCE-UPLOAD-0-4-3-20260825.md,project-task-record,项目内本地Cocos源码及gate-d-mainflow-v4-phone-preview-dev-r3开发版本0.4.3／由用户设置的对应体验版；审核和发布另行批准,none,none,design-system/formal-ending-ui-v1/generate-assets.mjs,可编辑SVG人工结构化重建并确定性导出PNG,属于已批准A纸笺的工程化细节；r3本地构建与Web截图复验通过；微信真机待验,29f8604be52412200cfb62d330f43a29755c0e7d6f2df4c594470ba3705ebf96,v1.0.2,reviewed,不改变暖屋光线或场景样式；0.4.3开发版本已上传；真机待验；not-for-review；not-for-release
UI-N01-END-005,暖纸短分隔线,ui,N01,cocos-project/assets/resources/formal-ending-ui-v1/surface-rule.png,design-system/formal-ending-ui-v1/surface-rule.svg,CODEX-AI+PROJECT-OWNER,2026-08-25,ai-assisted,docs/FORMAL-ENDING-UI-V1-A-APPROVAL.md|docs/GATE-D-MAINFLOW-V4-EXPERIENCE-UPLOAD-0-4-3-20260825.md,project-task-record,项目内本地Cocos源码及gate-d-mainflow-v4-phone-preview-dev-r3开发版本0.4.3／由用户设置的对应体验版；审核和发布另行批准,none,none,design-system/formal-ending-ui-v1/generate-assets.mjs,可编辑SVG人工结构化重建并确定性导出PNG,属于已批准A/B暖纸的工程化细节；r3本地构建与Web截图复验通过；微信真机待验,42234d90c7742d1a820667d18bbf1869d876f162cc175e4b104746413e01db04,v1.0.2,reviewed,不改变暖屋光线或场景样式；0.4.3开发版本已上传；真机待验；not-for-review；not-for-release
UI-N01-SESSION-001,时长选择双墨圈,ui,N01,cocos-project/assets/resources/formal-session-controls-v1/selection-ring.png,design-system/formal-session-controls-v1/selection-ring.svg,CODEX-AI+PROJECT-OWNER,2026-08-26,ai-assisted,docs/FORMAL-SESSION-CONTROLS-V1-A-APPROVAL.md,project-task-record,项目内本地Cocos源码接入；微信构建、上传、审核和发布均需另行批准,none,none,design-system/formal-session-controls-v1/generate-assets.mjs,可编辑SVG人工结构化绘制双墨圈并确定性导出透明PNG,用户已批准FORMAL-SESSION-CONTROLS-V1-A；双墨圈仅表示当前预选时长且不发光不奖励；运行时视觉与微信真机待验,74718c3349b13bb988e82983e6d13fdfbf6f0061634948257d8ba7de39f7c79e,v1.0.0,reviewed,本地源码接入；不改变暖屋角色猫晚饭构图材质或配色；not-built；not-uploaded；not-for-review；not-for-release
TMP-OUTDOOR-BKF-001,B漫画三拍B01坐稳临时帧,scene,common,cocos-project/assets/outdoor-story-b-kf-r1-temp/b01-settle.png,design-board/story-illustration-redesign-v1-b/exploration/b01-settle-reference-r1.png,OPENAI-IMAGEGEN+PROJECT-OWNER,2026-08-29,derived-preview,docs/STORY-ILLUSTRATION-B-KF-R1-TEMP-PHONE-EXCEPTION-PROPOSAL.md,project-task-record,仅微信开发版本0.4.7及用户自行设置的对应体验版；禁止审核发布和后续版本复用,none,none,storyboard/story-illustration-redesign-v1-b/prompts/|cocos-project/scripts/import-story-b-kf-r1-temp-assets.mjs,not-applicable；一次性探索图压缩衍生帧,用户批准KF-R1故事与一次性0.4.7例外；不是正式相似性通过,170b8100298ad5d0d85624e38f81ff18bfe77e930a4da3634d659234eb486864,v0.4.7-temp.1,reviewed,prototype-only；disposable；0.4.7-only；not-for-review；not-for-release
TMP-OUTDOOR-BKF-002,B漫画三拍B02风经过临时帧,scene,common,cocos-project/assets/outdoor-story-b-kf-r1-temp/b02-wind-passes.png,design-board/story-illustration-redesign-v1-b/exploration/b02-wind-passes-r1.png,OPENAI-IMAGEGEN+PROJECT-OWNER,2026-08-29,derived-preview,docs/STORY-ILLUSTRATION-B-KF-R1-TEMP-PHONE-EXCEPTION-PROPOSAL.md,project-task-record,仅微信开发版本0.4.7及用户自行设置的对应体验版；禁止审核发布和后续版本复用,none,none,storyboard/story-illustration-redesign-v1-b/prompts/|cocos-project/scripts/import-story-b-kf-r1-temp-assets.mjs,not-applicable；一次性探索图压缩衍生帧,用户批准KF-R1故事与一次性0.4.7例外；不是正式相似性通过,a6638222ec9dc0f38e3d21490f5f2803bde0a24919b51147869b77722af19cd1,v0.4.7-temp.1,reviewed,prototype-only；disposable；0.4.7-only；not-for-review；not-for-release
TMP-OUTDOOR-BKF-003,B漫画三拍B03余风临时帧,scene,common,cocos-project/assets/outdoor-story-b-kf-r1-temp/b03-afterwind.png,design-board/story-illustration-redesign-v1-b/exploration/b03-afterwind-detail-r1.png,OPENAI-IMAGEGEN+PROJECT-OWNER,2026-08-29,derived-preview,docs/STORY-ILLUSTRATION-B-KF-R1-TEMP-PHONE-EXCEPTION-PROPOSAL.md,project-task-record,仅微信开发版本0.4.7及用户自行设置的对应体验版；禁止审核发布和后续版本复用,none,none,storyboard/story-illustration-redesign-v1-b/prompts/|cocos-project/scripts/import-story-b-kf-r1-temp-assets.mjs,not-applicable；一次性探索图压缩衍生帧,用户批准KF-R1故事与一次性0.4.7例外；不是正式相似性通过,c63452f9f8a9b22fc9de6a6d49f29ea04f563c457ad5501c140ea4ae3d37a5c4,v0.4.7-temp.1,reviewed,prototype-only；disposable；0.4.7-only；not-for-review；not-for-release
ART-OUTDOOR-001,草坡入口正式单帧R1,scene,common,not-in-build,design-system/formal-outdoor-art-pilot-v1-b-r1/source/root_night_slope_v1-master-2x.png,OPENAI-IMAGEGEN+PROJECT-OWNER,2026-08-29,ai-assisted-formal-fullframe,docs/FORMAL-PICTUREBOOK-FULLFRAME-V1-A-ROUTE-APPROVAL.md|docs/FORMAL-PICTUREBOOK-FULLFRAME-V1-A-SPEC-APPROVAL.md,project-task-record,仅作为FORMAL-PICTUREBOOK-FULLFRAME-V1-A根页视觉基准与Batch1审查；禁止Cocos构建微信Git扩产和正式发布,none,TMP-OUTDOOR-BKF-001,design-system/formal-outdoor-art-pilot-v1-b-r1/provenance.json,不再要求20层反向拆分；旧真Alpha探针失败证据保留,负责人和独立只读审查通过；用户已批准同一SHA-256的R1单帧视觉,5c84ce815ba011cd9be570889c768573e80c3d55d6b59fb2bd211301f86c74e3,v1.0.0-r1-approved,visual-approved,fullframe spec approved；Batch1 root registered；not-in-build；no Cocos or WeChat
ART-PBOOK-STAR-005,星空终章正式全幅候选F5,scene,common,not-in-build,design-system/formal-picturebook-fullframe-v1-a-batch1/source/masters/scene_02_stargaze_shot_005-master-2x.png,OPENAI-IMAGEGEN+PROJECT-OWNER,2026-08-29,ai-assisted-formal-fullframe,docs/FORMAL-PICTUREBOOK-FULLFRAME-V1-A-SPEC-APPROVAL.md|docs/STARGAZE-F5-FORMAL-V1-A-APPROVAL.md,project-task-record,FORMAL-PICTUREBOOK-FULLFRAME-V1-A Batch 1 星空F5正式文件已获同一390x844哈希批准；禁止Cocos构建微信Git扩产审核和发布,none,ART-OUTDOOR-001|ART-OUTDOOR-ROOT-WIND-HEM-003,design-system/formal-picturebook-fullframe-v1-a-batch1/prompts/scene_02_stargaze_shot_005.md|design-system/formal-picturebook-fullframe-v1-a-batch1/provenance.json,全幅clean plate；不要求20层反向拆分；无文字无UI无流星；R4根页仅作为当前连续性审查锚点,用户已批准同一正式文件；流星和中文仍为独立层且未进运行时,d36b99ebfe0805233000df9c0cbf2bc6217691111a7da7fa8e2dbe2eb99e4a85,v1.0.1-f5-formal-approved,approved,not-in-build；stargaze F5 used one targeted repair；no Cocos or WeChat
